Model,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Panasonic Lumix DMC-L1,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,606.0,146.0,1499.0
Panasonic Lumix DMC-L10,3648.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,556.0,135.0,1499.0
Panasonic Lumix DMC-LC1,2560.0,2048.0,4.0,28.0,90.0,30.0,30.0,16.0,705.0,135.0,1499.0
Panasonic Lumix DMC-LC20,1600.0,1024.0,1.0,35.0,105.0,50.0,15.0,8.0,290.0,99.0,1499.0
Panasonic Lumix DMC-LC33,2048.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,215.0,96.0,1499.0
Panasonic Lumix DMC-LC40,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,16.0,420.0,104.0,1499.0
Panasonic Lumix DMC-LC43,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,32.0,215.0,96.0,1499.0
Panasonic Lumix DMC-LC5,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,32.0,435.0,128.0,1499.0
Panasonic Lumix DMC-LC50,2048.0,1600.0,3.0,35.0,105.0,50.0,10.0,16.0,210.0,65.0,1499.0
Panasonic Lumix DMC-LC70,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,16.0,210.0,65.0,1499.0
Panasonic Lumix DMC-LC80,2560.0,2048.0,4.0,35.0,105.0,50.0,10.0,16.0,207.0,88.0,1499.0
Panasonic Lumix DMC-LS1,2304.0,1600.0,4.0,35.0,105.0,50.0,5.0,14.0,188.0,94.0,1499.0
Panasonic Lumix DMC-LS2,2560.0,2048.0,5.0,35.0,105.0,50.0,5.0,14.0,188.0,111.0,1499.0
Panasonic Lumix DMC-LS60,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,27.0,188.0,94.0,149.0
Panasonic Lumix DMC-LS75,3072.0,2560.0,7.0,35.0,105.0,50.0,5.0,27.0,188.0,94.0,1499.0
Panasonic Lumix DMC-LX1,3840.0,3072.0,8.0,28.0,112.0,50.0,5.0,32.0,220.0,106.0,1499.0
Panasonic Lumix DMC-LX2,4224.0,3840.0,10.0,28.0,112.0,50.0,5.0,13.0,220.0,106.0,1499.0
Panasonic Lumix DMC-LZ1,2304.0,1600.0,4.0,37.0,222.0,50.0,5.0,14.0,224.0,101.0,149.0
Panasonic Lumix DMC-LZ2,2560.0,2048.0,5.0,37.0,222.0,50.0,5.0,14.0,224.0,101.0,149.0
Panasonic Lumix DMC-LZ3,2560.0,2048.0,5.0,37.0,222.0,50.0,5.0,14.0,230.0,100.0,149.0
Panasonic Lumix DMC-LZ5,2816.0,2048.0,6.0,37.0,222.0,50.0,5.0,14.0,230.0,100.0,149.0
Panasonic Lumix DMC-LZ6,3072.0,2560.0,7.0,37.0,222.0,50.0,5.0,27.0,230.0,99.0,149.0
Panasonic Lumix DMC-LZ7,3072.0,2560.0,7.0,37.0,222.0,50.0,5.0,27.0,234.0,99.0,149.0
Panasonic Lumix DMC-TZ1,2560.0,2048.0,4.0,35.0,350.0,40.0,5.0,13.0,250.0,112.0,299.0
Panasonic Lumix DMC-TZ2,2816.0,2048.0,6.0,28.0,280.0,50.0,5.0,13.0,260.0,105.0,299.0
Panasonic Lumix DMC-TZ3,3072.0,2560.0,7.0,28.0,280.0,50.0,5.0,13.0,280.0,105.0,299.0
Pentax EI-100,1280.0,640.0,1.0,42.0,42.0,60.0,30.0,8.0,240.0,105.0,509.0
Pentax EI-200,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,390.0,128.0,509.0
Pentax EI-2000,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,630.0,144.0,509.0
Pentax *ist D,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,650.0,129.0,799.0
Pentax *ist DL,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,565.0,125.0,799.0
Pentax *ist DL2,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,565.0,125.0,799.0
Pentax *ist DS,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,799.0
Pentax *ist DS2,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,799.0
Pentax K100D,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,660.0,129.0,509.0
Pentax K100D Super,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,646.0,129.0,509.0
Pentax K10D,3872.0,3008.0,10.0,0.0,0.0,0.0,0.0,0.0,793.0,142.0,799.0
Pentax K110D,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,585.0,129.0,509.0
Pentax Optio 230,1600.0,1024.0,1.0,38.0,114.0,50.0,10.0,16.0,230.0,104.0,269.0
Pentax Optio 30,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,16.0,180.0,94.0,149.0
Pentax Optio 330,2048.0,1024.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 330GS,2048.0,1600.0,3.0,38.0,114.0,4.0,5.0,16.0,230.0,104.0,269.0
Pentax Optio 330RS,2048.0,1024.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 33L,2048.0,1600.0,3.0,38.0,114.0,40.0,10.0,16.0,225.0,105.0,269.0
Pentax Optio 33LF,2048.0,1600.0,3.0,38.0,114.0,40.0,10.0,12.0,225.0,109.0,269.0
Pentax Optio 33WR,2048.0,1600.0,3.0,37.0,104.0,30.0,1.0,16.0,208.0,82.0,269.0
Pentax Optio 430,2240.0,1120.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 430RS,2240.0,1120.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 43WR,2288.0,1600.0,3.0,37.0,104.0,30.0,1.0,16.0,200.0,82.0,269.0
Pentax Optio 450,2288.0,1600.0,3.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 50,2560.0,2048.0,4.0,32.0,96.0,50.0,6.0,12.0,180.0,91.0,149.0
Pentax Optio 550,2592.0,2048.0,5.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 555,2592.0,2048.0,5.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio 60,2848.0,2272.0,6.0,36.0,108.0,50.0,5.0,12.0,200.0,91.0,149.0
Pentax Optio 750Z,3056.0,2592.0,7.0,37.0,187.0,60.0,2.0,32.0,255.0,100.0,149.0
Pentax Optio A10,3264.0,2592.0,8.0,38.0,114.0,35.0,6.0,24.0,145.0,89.0,249.0
Pentax Optio A20,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,145.0,89.0,149.0
Pentax Optio A30,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,145.0,89.0,269.0
Pentax Optio E10,2816.0,2272.0,6.0,34.0,102.0,50.0,5.0,10.0,180.0,87.0,149.0
Pentax Optio E20,2816.0,2272.0,6.0,34.0,102.0,50.0,5.0,13.0,180.0,90.0,149.0
Pentax Optio E30,3072.0,2592.0,7.0,36.0,108.0,50.0,15.0,11.0,190.0,95.0,149.0
Pentax Optio E40,3264.0,2592.0,8.0,37.0,112.0,40.0,15.0,10.0,175.0,94.0,149.0
Pentax Optio M10,2816.0,2560.0,6.0,35.0,105.0,70.0,10.0,22.0,170.0,89.0,249.0
Pentax Optio M20,3072.0,2560.0,7.0,38.0,114.0,40.0,5.0,22.0,180.0,94.0,149.0
Pentax Optio M30,3072.0,2592.0,7.0,38.0,114.0,40.0,10.0,22.0,120.0,97.0,269.0
Pentax Optio M40,3264.0,2592.0,8.0,36.0,108.0,40.0,5.0,21.0,136.0,97.0,149.0
Pentax Optio MX4,2304.0,1600.0,4.0,37.0,370.0,40.0,10.0,16.0,375.0,73.0,149.0
Pentax Optio S,2048.0,1024.0,3.0,35.0,105.0,40.0,6.0,16.0,115.0,83.0,149.0
Pentax Optio S10,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,116.0,86.0,249.0
Pentax Optio S30,2048.0,1600.0,3.0,38.0,114.0,40.0,6.0,11.0,175.0,89.0,269.0
Pentax Optio S4,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,11.0,115.0,83.0,149.0
Pentax Optio S40,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,11.0,175.0,89.0,149.0
Pentax Optio S45,2304.0,1600.0,4.0,35.0,107.0,40.0,6.0,11.0,155.0,89.0,149.0
Pentax Optio S4i,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,10.0,120.0,84.0,149.0
Pentax Optio S50,2560.0,2304.0,5.0,35.0,107.0,40.0,6.0,11.0,180.0,89.0,149.0
Pentax Optio S55,2560.0,2304.0,5.0,35.0,107.0,40.0,6.0,11.0,155.0,89.0,149.0
Pentax Optio S5i,2560.0,2048.0,4.0,36.0,107.0,40.0,6.0,10.0,120.0,84.0,149.0
Pentax Optio S5n,2560.0,2304.0,4.0,35.0,107.0,40.0,6.0,9.0,120.0,84.0,149.0
Pentax Optio S5z,2560.0,2304.0,5.0,35.0,107.0,40.0,6.0,9.0,120.0,83.0,149.0
Pentax Optio S6,2816.0,2560.0,6.0,37.0,112.0,40.0,15.0,23.0,120.0,86.0,149.0
Pentax Optio S60,2816.0,2560.0,6.0,35.0,106.0,40.0,6.0,11.0,135.0,89.0,149.0
Pentax Optio S7,3072.0,2592.0,7.0,37.0,112.0,40.0,15.0,23.0,120.0,86.0,149.0
Pentax Optio SV,2560.0,2048.0,5.0,36.0,180.0,60.0,3.0,32.0,165.0,91.0,149.0
Pentax Optio SVi,2560.0,2048.0,5.0,36.0,180.0,60.0,3.0,32.0,165.0,91.0,149.0
Pentax Optio T10,2816.0,2592.0,6.0,37.0,112.0,40.0,15.0,12.0,155.0,95.0,249.0
Pentax Optio T20,3072.0,2592.0,7.0,37.0,112.0,40.0,15.0,12.0,155.0,95.0,149.0
Pentax Optio T30,3072.0,2592.0,7.0,38.0,112.0,40.0,15.0,20.0,155.0,95.0,269.0
Pentax Optio W10,2816.0,2560.0,6.0,38.0,114.0,40.0,1.0,10.0,160.0,107.0,269.0
Pentax Optio W20,3072.0,2560.0,7.0,38.0,114.0,40.0,1.0,21.0,150.0,107.0,269.0
Pentax Optio W30,3072.0,2560.0,7.0,38.0,114.0,40.0,1.0,21.0,155.0,108.0,269.0
Pentax Optio WP,2560.0,2304.0,4.0,38.0,114.0,40.0,1.0,10.0,135.0,102.0,269.0
Pentax Optio WPi,2816.0,2560.0,6.0,38.0,114.0,40.0,1.0,10.0,135.0,102.0,269.0
Pentax Optio X,2560.0,2048.0,5.0,36.0,107.0,40.0,6.0,14.0,145.0,112.0,149.0
Pentax Optio Z10,3264.0,2592.0,8.0,38.0,266.0,40.0,8.0,0.0,0.0,94.0,249.0
Ricoh Caplio 500G,3264.0,2592.0,8.0,28.0,85.0,30.0,1.0,26.0,450.0,133.0,229.0
Ricoh Caplio R1V,2560.0,2048.0,4.0,28.0,135.0,30.0,1.0,12.0,195.0,100.0,99.0
Ricoh Caplio R2,2560.0,2048.0,4.0,28.0,135.0,30.0,1.0,28.0,195.0,100.0,99.0
Ricoh Caplio R3,2560.0,2048.0,4.0,28.0,200.0,30.0,1.0,26.0,165.0,95.0,99.0
Ricoh Caplio R30,2560.0,2048.0,4.0,28.0,160.0,30.0,1.0,28.0,180.0,95.0,99.0
Ricoh Caplio R4,2816.0,2048.0,6.0,28.0,200.0,30.0,1.0,26.0,165.0,95.0,99.0
Ricoh Caplio R40,2816.0,2048.0,6.0,28.0,160.0,30.0,1.0,26.0,165.0,95.0,199.0
Ricoh Caplio R5,3072.0,2592.0,7.0,28.0,200.0,30.0,1.0,26.0,165.0,96.0,99.0
Ricoh Caplio R6,3072.0,2592.0,7.0,28.0,200.0,30.0,1.0,54.0,165.0,100.0,99.0
Ricoh Caplio R7,3264.0,3264.0,8.0,28.0,200.0,30.0,1.0,24.0,135.0,100.0,99.0
Ricoh Caplio RR530,2560.0,2048.0,4.0,32.0,96.0,30.0,1.0,12.0,190.0,91.0,399.0
Ricoh Caplio RR630,2816.0,2048.0,6.0,36.0,108.0,50.0,6.0,12.0,200.0,91.0,399.0
Ricoh Caplio G3,2048.0,1280.0,3.0,35.0,105.0,30.0,1.0,8.0,230.0,124.0,99.0
Ricoh GR Digital,3264.0,2592.0,8.0,28.0,28.0,30.0,2.0,26.0,200.0,107.0,4999.0
Ricoh Caplio GX100,3648.0,3264.0,10.0,24.0,72.0,30.0,1.0,26.0,260.0,112.0,399.0
Ricoh Caplio GX8,3264.0,2592.0,8.0,28.0,85.0,30.0,1.0,26.0,260.0,114.0,99.0
Ricoh RDC-200G,1792.0,1280.0,2.0,38.0,114.0,4.0,4.0,8.0,500.0,144.0,399.0
Ricoh RDC-4300,1280.0,640.0,1.0,35.0,105.0,40.0,8.0,4.0,320.0,135.0,149.0
Ricoh RDC-5000,1792.0,896.0,2.0,38.0,86.0,40.0,4.0,8.0,340.0,131.0,149.0
Ricoh RDC-5300,1792.0,896.0,2.0,38.0,114.0,40.0,4.0,8.0,380.0,131.0,177.0
Ricoh RDC-6000,1600.0,800.0,1.0,40.0,40.0,30.0,13.0,8.0,300.0,110.0,149.0
Ricoh RDC-7,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,320.0,135.0,1699.0
Ricoh RDC-i500,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,320.0,142.0,4999.0
Ricoh RDC-i700,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,450.0,157.0,149.0
Ricoh Caplio RR1,2272.0,1120.0,3.0,35.0,105.0,24.0,1.0,8.0,340.0,135.0,99.0
Ricoh Caplio RX,2048.0,1280.0,3.0,28.0,100.0,30.0,1.0,8.0,215.0,112.0,99.0
Samsung Digimax A50,2592.0,2272.0,5.0,35.0,105.0,80.0,5.0,11.0,185.0,107.0,229.0
Samsung Digimax A502,2592.0,2272.0,5.0,31.0,31.0,100.0,2.0,16.0,175.0,97.0,229.0
Samsung Digimax A55W,2592.0,2272.0,5.0,28.0,135.0,60.0,1.0,32.0,185.0,106.0,229.0
Samsung Digimax 130,1280.0,640.0,1.0,43.0,43.0,80.0,40.0,8.0,250.0,106.0,299.0
Samsung Digimax 202,1600.0,1024.0,1.0,35.0,47.0,120.0,19.0,6.0,135.0,98.0,229.0
Samsung Digimax 230,1600.0,1024.0,1.0,33.0,100.0,80.0,20.0,0.0,0.0,0.0,229.0
Samsung Digimax 250,1600.0,1024.0,1.0,35.0,76.0,80.0,15.0,6.0,210.0,107.0,229.0
Samsung Digimax 301,2048.0,1600.0,3.0,35.0,33.0,10.0,19.0,16.0,137.0,98.0,299.0
Samsung Digimax 350SE,2048.0,1024.0,3.0,34.0,102.0,80.0,20.0,0.0,320.0,114.0,229.0
Samsung Digimax 370,2048.0,1620.0,3.0,35.0,114.0,80.0,5.0,0.0,157.0,108.0,229.0
Samsung Digimax 401,2048.0,1600.0,4.0,35.0,33.0,10.0,19.0,16.0,137.0,98.0,299.0
Samsung Digimax 410,2272.0,1600.0,3.0,34.0,102.0,80.0,20.0,0.0,340.0,116.0,229.0
Samsung Digimax 430,2272.0,2048.0,3.0,35.0,114.0,80.0,5.0,32.0,210.0,107.0,229.0
Samsung Digimax 530,2592.0,2048.0,5.0,38.0,114.0,80.0,6.0,32.0,195.0,110.0,229.0
Samsung Digimax V4,2272.0,1120.0,3.0,38.0,114.0,80.0,6.0,0.0,210.0,106.0,229.0
Samsung GX-10,3872.0,3008.0,10.0,0.0,0.0,0.0,0.0,0.0,793.0,142.0,199.0
Samsung GX-1L,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,570.0,125.0,299.0
Samsung GX-1S,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,299.0
Samsung Digimax i5,2595.0,2272.0,5.0,39.0,117.0,50.0,5.0,50.0,155.0,90.0,229.0
Samsung Digimax i6,2816.0,2592.0,6.0,39.0,117.0,50.0,1.0,45.0,0.0,96.0,229.0
Samsung i7,3072.0,2592.0,7.0,38.0,114.0,80.0,5.0,450.0,210.0,101.0,119.0
Samsung i70,3072.0,2592.0,7.0,38.0,114.0,80.0,5.0,20.0,180.0,90.0,199.0
Samsung i85,3264.0,2592.0,8.0,36.0,108.0,80.0,5.0,173.0,0.0,95.0,149.0
Samsung L83T,3264.0,2592.0,8.0,38.0,114.0,80.0,5.0,19.0,160.0,93.0,229.0
Samsung L700,3072.0,2592.0,7.0,35.0,105.0,80.0,5.0,20.0,170.0,97.0,199.0
Samsung L73,3072.0,2592.0,7.0,35.0,105.0,80.0,5.0,19.0,180.0,98.0,119.0
Samsung L730,3264.0,2592.0,7.0,38.0,114.0,80.0,10.0,16.0,183.0,95.0,99.0
Samsung L74 Wide,3072.0,2592.0,7.0,28.0,101.0,80.0,5.0,450.0,210.0,105.0,119.0
Samsung L77,3072.0,2592.0,7.0,38.0,266.0,80.0,10.0,0.0,0.0,94.0,119.0
Samsung L830,3264.0,2592.0,8.0,38.0,114.0,80.0,5.0,10.0,183.0,95.0,99.0
Samsung NV10,3648.0,3136.0,10.0,35.0,105.0,80.0,4.0,20.0,190.0,97.0,229.0
Samsung NV11,3648.0,3136.0,10.0,35.0,190.0,80.0,1.0,0.0,240.0,107.0,229.0
Samsung NV15,3648.0,2592.0,10.0,34.0,102.0,80.0,4.0,20.0,0.0,97.0,229.0
Samsung NV20,4000.0,2592.0,12.0,34.0,102.0,80.0,4.0,20.0,0.0,97.0,229.0
Samsung NV3,3072.0,2816.0,7.0,38.0,114.0,80.0,1.0,15.0,155.0,95.0,229.0
Samsung NV7 OPS,3072.0,2688.0,7.0,38.0,270.0,80.0,1.0,19.0,290.0,106.0,229.0
Samsung NV8,3264.0,2592.0,8.0,34.0,102.0,80.0,4.0,20.0,0.0,97.0,229.0
Samsung Pro815,3264.0,2400.0,8.0,28.0,420.0,10.0,3.0,0.0,910.0,136.0,299.0
Samsung S1030,3648.0,3476.0,10.0,35.0,105.0,80.0,4.0,45.0,220.0,100.0,199.0
Samsung S1050,3648.0,3476.0,10.0,38.0,190.0,80.0,1.0,45.0,254.0,105.0,199.0
Samsung S630,2816.0,2048.0,6.0,35.0,105.0,80.0,5.0,16.0,186.0,100.0,99.0
Samsung S730,3072.0,2592.0,7.0,35.0,105.0,80.0,5.0,16.0,186.0,100.0,99.0
Samsung S830,3264.0,3072.0,8.0,35.0,105.0,80.0,4.0,45.0,220.0,100.0,99.0
Samsung S85,3264.0,2592.0,8.0,38.0,190.0,80.0,1.0,20.0,204.0,100.0,149.0
Samsung S850,3264.0,2592.0,8.0,38.0,190.0,80.0,1.0,20.0,222.0,104.0,149.0
Samsung Digimax U-CA 3,2048.0,2048.0,3.0,35.0,114.0,80.0,5.0,0.0,134.0,102.0,229.0
Samsung Digimax U-CA 4,2272.0,2048.0,4.0,35.0,105.0,80.0,5.0,0.0,169.0,102.0,229.0
Samsung Digimax U-CA 401,2272.0,1136.0,3.0,35.0,35.0,60.0,6.0,0.0,165.0,97.0,229.0
Samsung Digimax V40,2272.0,2048.0,3.0,35.0,113.0,80.0,5.0,0.0,230.0,106.0,229.0
Samsung Digimax V5,2592.0,2272.0,5.0,38.0,114.0,80.0,5.0,0.0,180.0,106.0,229.0
Samsung Digimax V50,2592.0,2272.0,5.0,35.0,113.0,80.0,5.0,256.0,230.0,106.0,229.0
Samsung Digimax V6,2816.0,2560.0,6.0,38.0,114.0,80.0,6.0,0.0,220.0,106.0,229.0
Samsung Digimax V700,3072.0,2816.0,7.0,38.0,114.0,80.0,4.0,128.0,220.0,106.0,229.0
Samsung Digimax V800,3264.0,2816.0,8.0,38.0,114.0,80.0,4.0,32.0,220.0,106.0,229.0
Sanyo DSC-AZ1,2288.0,1600.0,3.0,35.0,98.0,50.0,10.0,16.0,340.0,106.0,429.0
Sanyo DSC-J1,2048.0,1600.0,3.0,37.0,104.0,20.0,2.0,8.0,205.0,98.0,429.0
Sanyo DSC-S1,2048.0,1600.0,3.0,36.0,108.0,50.0,16.0,8.0,190.0,100.0,149.0
Sanyo Xacti DSC-S3,2048.0,1600.0,3.0,37.0,112.0,50.0,2.0,16.0,185.0,91.0,1399.0
Sanyo Xacti DSC-S4,2288.0,1600.0,3.0,37.0,105.0,50.0,2.0,16.0,185.0,91.0,1399.0
Sanyo DSC-MZ1,1600.0,640.0,1.0,35.0,98.0,50.0,10.0,8.0,340.0,106.0,429.0
Sanyo VPC-X350,1024.0,640.0,0.0,38.0,38.0,60.0,10.0,4.0,260.0,105.0,149.0
Sanyo VPC-Z400,1280.0,640.0,1.0,34.0,102.0,80.0,20.0,4.0,350.0,128.0,149.0
Sigma DP1,2640.0,1776.0,4.0,28.0,28.0,0.0,0.0,0.0,270.0,109.0,1599.0
Sigma SD10,2268.0,1134.0,3.0,0.0,0.0,0.0,0.0,0.0,950.0,152.0,1599.0
Sigma SD14,2640.0,1776.0,4.0,0.0,0.0,0.0,0.0,0.0,750.0,144.0,19.0
Sigma SD9,2268.0,1134.0,3.0,0.0,0.0,0.0,0.0,0.0,950.0,152.0,19.0
Sony Mavica FD-91,1024.0,640.0,0.0,37.0,518.0,80.0,3.0,1.0,950.0,140.0,1399.0
Sony Mavica CD1000,1600.0,1600.0,1.0,37.0,370.0,80.0,3.0,8.0,980.0,125.0,1399.0
Sony Mavica CD200,1600.0,1024.0,1.0,39.0,117.0,50.0,3.0,8.0,620.0,144.0,1399.0
Sony Mavica CD250,1600.0,1280.0,1.0,41.0,123.0,50.0,3.0,6.0,610.0,138.0,1399.0
Sony Mavica CD300,2048.0,1600.0,3.0,34.0,102.0,50.0,4.0,8.0,620.0,144.0,1399.0
Sony Mavica CD350,2048.0,1632.0,3.0,41.0,123.0,50.0,10.0,1.0,522.0,132.0,1399.0
Sony Mavica CD400,2272.0,1600.0,3.0,34.0,102.0,50.0,4.0,6.0,640.0,138.0,1399.0
Sony Mavica CD500,2592.0,2048.0,5.0,34.0,102.0,50.0,4.0,1.0,606.0,139.0,1399.0
Sony DSC-D700,1344.0,640.0,1.0,28.0,140.0,20.0,0.0,8.0,900.0,130.0,149.0
Sony DSC-D770,1344.0,640.0,1.0,28.0,140.0,20.0,0.0,8.0,900.0,130.0,149.0
Sony DSC-F505,1600.0,1024.0,1.0,38.0,190.0,80.0,8.0,4.0,475.0,107.0,149.0
Sony DSC-F505V,1856.0,1600.0,2.0,38.0,190.0,50.0,2.0,8.0,482.0,107.0,149.0
Sony DSC-F55,1600.0,640.0,1.0,37.0,37.0,50.0,10.0,4.0,300.0,103.0,429.0
Sony DSC-F55V,1856.0,1600.0,2.0,37.0,37.0,25.0,10.0,8.0,280.0,103.0,429.0
Sony DSC-F707,2560.0,2048.0,4.0,38.0,190.0,50.0,2.0,16.0,667.0,162.0,149.0
Sony DSC-F717,2560.0,2048.0,4.0,38.0,190.0,50.0,2.0,32.0,659.0,162.0,149.0
Sony DSC-F828,3264.0,2592.0,8.0,28.0,200.0,50.0,2.0,0.0,906.0,134.0,429.0
Sony DSC-F88,2592.0,2048.0,5.0,38.0,114.0,50.0,8.0,32.0,202.0,98.0,429.0
Sony DSC-G1,2816.0,2048.0,6.0,38.0,114.0,50.0,8.0,2.0,238.0,93.0,429.0
Sony DSC-H1,2592.0,2048.0,5.0,36.0,432.0,50.0,2.0,32.0,591.0,108.0,429.0
Sony DSC-H2,2816.0,2048.0,6.0,36.0,432.0,50.0,2.0,32.0,490.0,108.0,429.0
Sony DSC-H3,3264.0,3264.0,8.0,38.0,380.0,50.0,2.0,31.0,264.0,106.0,429.0
Sony DSC-H5,3072.0,2592.0,7.0,36.0,432.0,50.0,2.0,32.0,490.0,108.0,429.0
Sony DSC-H7,3264.0,2592.0,8.0,31.0,465.0,50.0,2.0,31.0,405.0,110.0,429.0
Sony DSC-H9,3264.0,2592.0,8.0,31.0,465.0,50.0,2.0,31.0,440.0,110.0,429.0
Sony DSC-L1,2304.0,1280.0,4.0,32.0,96.0,12.0,12.0,16.0,152.0,95.0,429.0
Sony DSC-M1,2592.0,2048.0,5.0,38.0,114.0,50.0,8.0,32.0,215.0,51.0,429.0
Sony DSC-M2,2592.0,2048.0,5.0,38.0,114.0,50.0,1.0,32.0,240.0,51.0,399.0
Sony DSC-N1,3264.0,2592.0,8.0,38.0,114.0,50.0,6.0,32.0,139.0,94.0,429.0
Sony DSC-N2,3264.0,2592.0,10.0,38.0,114.0,50.0,6.0,32.0,139.0,94.0,399.0
Sony DSC-P1,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,8.0,250.0,114.0,429.0
Sony DSC-P10,2592.0,2048.0,5.0,38.0,114.0,50.0,10.0,32.0,206.0,105.0,149.0
Sony DSC-P100,2592.0,2048.0,5.0,38.0,114.0,50.0,10.0,32.0,180.0,108.0,149.0
Sony DSC-P150,3072.0,2592.0,7.0,38.0,114.0,50.0,6.0,32.0,180.0,108.0,149.0
Sony DSC-P2,1600.0,1280.0,1.0,39.0,117.0,50.0,10.0,16.0,214.0,114.0,399.0
Sony DSC-P20,1216.0,1024.0,1.0,42.0,42.0,60.0,3.0,4.0,230.0,123.0,399.0
Sony DSC-P200,3072.0,2592.0,7.0,38.0,114.0,50.0,6.0,32.0,180.0,104.0,399.0
Sony DSC-P3,1920.0,1600.0,2.0,36.0,36.0,25.0,10.0,8.0,194.0,113.0,429.0
Sony DSC-P30,1280.0,1024.0,1.0,41.0,123.0,50.0,3.0,4.0,250.0,143.0,149.0
Sony DSC-P31,1600.0,1280.0,1.0,33.0,33.0,10.0,10.0,8.0,231.0,106.0,429.0
Sony DSC-P32,2048.0,1632.0,3.0,33.0,33.0,10.0,10.0,16.0,217.0,101.0,429.0
Sony DSC-P41,2272.0,1600.0,3.0,33.0,33.0,10.0,10.0,16.0,180.0,106.0,429.0
Sony DSC-P5,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,8.0,214.0,113.0,429.0
Sony DSC-P50,1600.0,1024.0,1.0,41.0,123.0,50.0,3.0,4.0,250.0,143.0,149.0
Sony DSC-P51,1600.0,1280.0,1.0,41.0,82.0,8.0,8.0,16.0,275.0,127.0,429.0
Sony DSC-P52,2048.0,1632.0,3.0,41.0,82.0,8.0,8.0,16.0,280.0,123.0,429.0
Sony DSC-P7,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,214.0,114.0,149.0
Sony DSC-P71,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,284.0,125.0,149.0
Sony DSC-P72,2048.0,1632.0,3.0,39.0,117.0,50.0,10.0,16.0,259.0,120.0,149.0
Sony DSC-P73,2272.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,243.0,116.0,149.0
Sony DSC-P8,2048.0,1632.0,3.0,39.0,117.0,50.0,10.0,16.0,206.0,105.0,429.0
Sony DSC-P9,2272.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,206.0,113.0,429.0
Sony DSC-P92,2592.0,2048.0,5.0,38.0,114.0,50.0,10.0,16.0,259.0,120.0,429.0
Sony DSC-P93,2592.0,2048.0,5.0,38.0,114.0,50.0,10.0,32.0,236.0,117.0,429.0
Sony DSC-R1,3888.0,3264.0,10.0,24.0,120.0,0.0,0.0,0.0,995.0,139.0,429.0
Sony DSC-S30,1280.0,640.0,1.0,39.0,117.0,25.0,3.0,4.0,370.0,113.0,149.0
Sony DSC-S40,2304.0,2048.0,4.0,32.0,96.0,0.0,0.0,32.0,184.0,99.0,149.0
